user_id,age,sex,last_month_salary,number_dependents
1,55,F,2200,0
2,44,M,7499,0
3,54,M,5900,0
4,54,F,2167,0
5,42,M,10415,2
6,63,F,4368,0
7,76,M,1700,0
8,55,M,15658,0
9,41,M,8441,0
10,49,F,200,0
11,56,M,6400,1
12,77,M,,0
13,66,F,2150,1
14,41,M,10749,0
15,64,M,7083,0
16,69,F,5188,0
17,79,M,10500,0
18,73,F,3922,0
19,51,F,,0
20,42,M,,0
21,65,F,5000,2
22,75,M,0,0
23,41,M,,0
24,53,F,9939,0
25,59,M,7930,2
26,55,F,5562,0
27,76,M,2500,0
28,56,M,2835,0
29,43,M,5833,0
30,31,F,8160,0
31,74,M,,0
32,67,M,6862,0
33,63,F,,0
34,62,M,,0
35,57,M,,0
36,72,F,,0
37,69,M,,0
38,67,F,4453,0
39,50,F,,0
40,49,M,5866,0
41,62,F,6500,0
42,34,M,5800,4
43,59,M,5416,1
44,46,F,3732,0
45,54,M,,0
46,73,F,,0
47,49,M,8900,0
48,53,M,4166,0
49,83,M,4694,0
50,34,F,1000,0
51,65,M,3750,0
52,72,M,5866,1
53,84,F,3001,1
54,71,M,6000,1
55,56,M,12000,1
56,41,F,,0
57,45,M,,0
58,65,F,,
59,57,F,,
60,50,M,5000,0
61,49,F,6600,2
62,88,M,,
63,79,M,4273,0
64,48,F,15000,0
65,37,M,6232,0
66,59,F,3213,0
67,55,M,10916,1
68,47,M,5560,3
69,23,M,,0
70,56,F,6860,2
71,54,M,0,1
72,69,M,3668,0
73,52,F,5115,0
74,76,M,5000,0
75,46,M,12040,1
76,76,F,2714,0
77,70,M,7500,2
78,67,F,,0
79,56,F,5583,1
80,37,M,,0
81,51,F,11000,1
82,43,M,1333,2
83,79,M,2600,0
84,43,F,4000,3
85,45,M,5666,3
86,38,F,4583,1
87,28,M,5500,0
88,44,M,51140,3
89,43,M,9166,2
90,58,F,,0
91,80,M,6500,0
92,25,M,5000,0
93,40,F,,
94,52,M,3000,0
95,27,M,2800,0
96,28,F,3500,0
97,59,M,8110,0
98,45,F,5600,1
99,23,F,2200,0
100,62,M,,0
101,45,F,5200,2
102,90,M,7083,0
103,64,M,,0
104,43,F,5708,2
105,51,M,13455,1
106,63,F,,
107,37,M,12996,4
108,83,M,2000,0
109,63,M,,0
110,89,F,3400,0
111,50,M,15000,2
112,40,M,5600,1
113,50,F,4667,2
114,49,M,4000,2
115,63,M,2500,0
116,47,F,,0
117,45,M,10483,0
118,62,F,,0
119,63,F,9500,0
120,39,M,,0
121,54,F,3600,0
122,64,M,32000,0
123,43,M,8804,0
124,45,F,,0
125,43,M,,2
126,43,F,8500,2
127,53,M,9100,0
128,38,M,12800,0
129,57,M,6667,0
130,31,F,,0
131,35,M,,0
132,56,M,,0
133,52,F,4500,2
134,39,M,2608,2
135,109,M,,
136,50,F,7000,0
137,46,M,10000,0
138,54,F,3800,1
139,43,F,,0
140,37,M,6833,2
141,64,F,30452,0
142,49,M,4320,1
143,40,M,5000,3
144,54,F,,0
145,69,M,6477,1
146,80,F,,0
147,54,M,4930,0
148,44,M,3666,0
149,78,M,,0
150,39,F,8452,1
151,59,M,15000,0
152,45,M,2383,0
153,49,F,8400,2
154,45,M,4300,2
155,44,M,1000,0
156,42,F,2000,0
157,68,M,10000,1
158,62,F,1500,2
159,32,F,10630,0
160,63,M,,0
161,25,F,4166,0
162,33,M,2716,0
163,57,M,9166,0
164,62,F,17750,3
165,59,M,10300,0
166,64,F,,0
167,39,M,5916,2
168,56,M,2720,1
169,79,M,,
170,40,F,1600,0
171,59,M,7000,2
172,50,M,5596,0
173,60,F,8136,1
174,51,M,24020,1
175,51,M,10728,2
176,72,F,4083,2
177,46,M,3700,3
178,63,F,,0
179,42,F,18000,3
180,66,M,8000,0
181,73,F,26500,0
182,51,M,,0
183,82,M,2607,0
184,46,F,2000,0
185,37,M,6777,1
186,55,F,,0
187,63,M,,
188,63,M,4153,0
189,33,M,3333,0
190,47,F,9000,4
191,54,M,,
192,82,M,9049,0
193,37,F,5417,2
194,52,M,,0
195,52,M,,1
196,53,F,5822,1
197,41,M,8350,0
198,42,F,7000,2
199,53,F,6300,2
200,40,M,3600,2
201,47,F,5200,2
202,44,M,8500,4
203,35,M,10000,3
204,34,F,4810,1
205,80,M,,0
206,61,F,,0
207,54,M,,0
208,47,M,,
209,67,M,,
210,64,F,4272,0
211,71,M,5116,0
212,56,M,7000,3
213,66,F,887,0
214,76,M,,0
215,50,M,,0
216,29,F,3975,0
217,48,M,6000,2
218,25,F,,
219,34,F,1800,0
220,40,M,3750,0
221,68,F,3500,0
222,51,M,12500,0
223,23,M,1200,0
224,54,F,17433,1
225,45,M,17000,3
226,68,F,10772,2
227,56,M,12500,0
228,47,M,6500,2
229,57,M,8183,1
230,63,F,7427,1
231,77,M,1772,0
232,46,M,5000,0
233,53,F,2400,0
234,50,M,15000,1
235,38,M,10666,2
236,54,F,2474,0
237,54,M,4884,1
238,41,F,,0
239,57,F,9166,0
240,37,M,8584,0
241,41,F,4828,2
